cluster,genotype,time,norm
0,AD,2.5,38.6654392078119
0,AD,5.7,53.116779592641294
0,AD,17.9,123.65599070919619
0,WT,2.5,40.16611701706894
0,WT,5.7,47.254484852809576
0,WT,13.4,52.655984646127536
1,AD,2.5,91.78561060393744
1,AD,5.7,102.05215609294693
1,AD,17.9,90.0619904269643
1,WT,2.5,80.47547764630274
1,WT,5.7,89.44666899241928
1,WT,13.4,102.5836833242083
2,AD,2.5,28.352225853508923
2,AD,5.7,42.155222799280764
2,AD,17.9,29.670839881196063
2,WT,2.5,36.9596405630962
2,WT,5.7,43.84670805193368
2,WT,13.4,43.43603537464501
3,AD,2.5,7.860312162304243
3,AD,5.7,8.071067286925597
3,AD,17.9,9.997145869273002
3,WT,2.5,8.222581653490604
3,WT,5.7,10.59025030319668
3,WT,13.4,13.644003347535422
