UMAP1,UMAP2,cell_type,distance_bin,plaque_distance
1.1018025,-0.2613506,Astrocyte,>200um (far),1315.8878531581715
3.4584363,0.13177067,Oligodendrocyte,>200um (far),207.37557540874178
1.8289512,0.109512456,Neuron,>200um (far),286.12494729633096
-0.67454827,-0.7011577,Oligodendrocyte,>200um (far),861.4014644971912
3.22082,2.9400408,Neuron,>200um (far),442.933166750357
3.6145942,-1.6087372,Astrocyte,>200um (far),1146.2657451997948
1.2353306,2.4631932,Neuron,>200um (far),1190.267263619835
2.1597257,1.4902214,Astrocyte,>200um (far),704.3829338418835
1.9413992,0.6124484,Neuron,>200um (far),534.6299061036001
1.3277853,0.023908045,Neuron,>200um (far),550.158529193938
5.0284047,2.766358,Microglia,>200um (far),1424.998660894601
3.4905953,2.3306868,Neuron,>200um (far),555.1085811969722
2.8848395,3.398804,Neuron,>200um (far),674.4534200755833
2.725743,1.9996955,Neuron,>200um (far),1093.3595014409211
3.4681144,-0.22890845,Neuron,>200um (far),346.65641141185984
3.1101387,3.2264886,Oligodendrocyte,>200um (far),464.60608011749946
-0.13333727,-0.7158807,Microglia,>200um (far),932.5193625118484
2.5865877,2.4206715,Microglia,>200um (far),1363.9687085182004
0.36205715,-0.039175663,Astrocyte,>200um (far),711.4196585539621
2.9412856,0.70801175,Microglia,>200um (far),484.8093274141143
1.8728008,0.3278131,Astrocyte,>200um (far),1005.8692069187367
0.44912788,1.4752122,Oligodendrocyte,>200um (far),993.079140608641
4.771155,2.2584436,Astrocyte,>200um (far),428.3023294374572
3.5879145,0.41617414,Microglia,>200um (far),452.1263688925683
1.9696534,0.041903898,Neuron,>200um (far),372.73437283587174
3.1198838,3.3822212,Neuron,>200um (far),376.12658074511415
3.2960737,3.3851135,Microglia,>200um (far),511.84894308999367
0.95465267,-1.0492527,Microglia,>200um (far),829.6614910861197
4.899292,2.0426006,Neuron,>200um (far),462.2132696063296
3.3433857,3.5339735,Microglia,>200um (far),781.5585596378126
4.290815,1.3626273,Neuron,>200um (far),641.6401783716543
